id,date,attack_type,platform,description,impact,mitigation,source
45,2020-08-01,Phishing Scam,Corporate Network,Multiple attackers compromised unpatched security flaws to install backdoors using encrypted channels.,Several users reported financial loss.,Conduct security awareness training for all staff.,CERT Advisory
46,2020-06-01,DDoS Attack,Banking App,Unauthorized users impersonated social engineering tactics to conduct reconnaissance through compromised websites during business hours.,Two devices were infected and required isolation.,Enable advanced threat protection on email gateways.,Internal SOC Report
47,2020-10-09,Identity Theft,Website,An investigation revealed that unauthorized users targeted cloud infrastructure to deploy ransomware through third-party vendors.,"No direct financial loss, but credentials were exposed.",Verify sender identity before responding.,CERT Advisory
48,2021-06-28,DDoS Attack,Facebook,Unauthorized users targeted network protocols to install backdoors via supply chain attacks during business hours.,Critical infrastructure systems were compromised.,Educate employees regarding phishing indicators.,Threat Intelligence Platform
49,2024-01-08,Ransomware Attack,SMS,"Unauthorized users compromised misconfigured servers to gain unauthorized access, resulting in unauthorized access.",The service was temporarily unavailable.,Enable MFA and reset all compromised credentials.,Law Enforcement Notification
50,2021-11-04,DDoS Attack,WhatsApp,An investigation revealed that threat actors deployed web applications to bypass security controls via supply chain attacks.,Several users reported financial loss.,Patch outdated systems immediately.,User Incident Report
51,2024-01-13,Business Email Compromise,VPN,A group of attackers successfully leveraged weak authentication to steal credentials through SQL injection.,"No direct financial loss, but credentials were exposed.",Enable MFA and reset all compromised credentials.,Internal SOC Report
52,2022-07-28,DDoS Attack,Email,An investigation revealed that hackers perpetrated malware payloads to encrypt critical files using social media.,Multiple corporate accounts were accessed unlawfully.,Patch outdated systems immediately.,Internal SOC Report
53,2021-11-14,Business Email Compromise,Website,A persistent business email compromise installed stolen credentials to conduct reconnaissance via malicious links.,Two devices were infected and required isolation.,Block malicious IP ranges and update firewall rules.,Law Enforcement Notification
54,2023-05-28,Ransomware Attack,WhatsApp,Adversaries successfully perpetrated employee email accounts to gain unauthorized access via supply chain attacks.,Customer data was potentially leaked.,Implement network segmentation to limit lateral movement.,CERT Advisory
55,2020-10-09,DDoS Attack,Facebook,Unauthorized users harvested file sharing services to move laterally across networks using fake apps.,Customer data was potentially leaked.,Enable advanced threat protection on email gateways.,User Incident Report
56,2022-08-05,Business Email Compromise,LinkedIn,A sophisticated business email compromise distributed social engineering tactics to steal credentials through email attachments.,Customer data was potentially leaked.,Implement email filtering enhancements.,Law Enforcement Notification
57,2024-03-28,DDoS Attack,VPN,Unauthorized users initiated web applications to harvest PII via supply chain attacks.,Two devices were infected and required isolation.,Run full malware scan and isolate infected hosts.,External Threat Feed
58,2020-12-03,Malware Infection,Banking App,Adversaries impersonated remote access tools to gain unauthorized access using privilege escalation.,Multiple corporate accounts were accessed unlawfully.,Implement email filtering enhancements.,Internal SOC Report
59,2023-04-30,Ransomware Attack,Email,Security teams detected that malicious actors launched backup systems to conduct reconnaissance through lateral movement.,Critical infrastructure systems were compromised.,Conduct security awareness training for all staff.,Law Enforcement Notification
60,2024-05-22,Malware Infection,Email,Malicious actors installed remote access tools to deploy ransomware via phishing emails.,"No direct financial loss, but credentials were exposed.",Verify sender identity before responding.,Law Enforcement Notification
61,2024-07-10,Ransomware Attack,LinkedIn,An investigation revealed that hackers deployed employee email accounts to bypass security controls using privilege escalation.,Multiple corporate accounts were accessed unlawfully.,Run full malware scan and isolate infected hosts.,CERT Advisory
62,2022-03-21,Identity Theft,WhatsApp,A multi-stage campaign initiated misconfigured servers to steal credentials via SMS messages.,Critical infrastructure systems were compromised.,Verify sender identity before responding.,Threat Intelligence Platform
63,2020-08-31,DDoS Attack,Facebook,A multi-stage campaign launched employee email accounts to conduct reconnaissance using privilege escalation.,Critical infrastructure systems were compromised.,Educate employees regarding phishing indicators.,Law Enforcement Notification
64,2024-06-30,Fake Investment Scam,Facebook,Malicious actors successfully launched mobile applications to establish persistence through email attachments.,Multiple corporate accounts were accessed unlawfully.,Implement network segmentation to limit lateral movement.,External Threat Feed
65,2021-05-19,DDoS Attack,Instagram,Unauthorized users successfully perpetrated phishing techniques to establish persistence via malicious links.,Several users reported financial loss.,Run full malware scan and isolate infected hosts.,CERT Advisory
66,2020-11-11,DDoS Attack,VPN,Scammers successfully exploited compromised accounts to steal credentials through deepfake technology.,Two devices were infected and required isolation.,Patch outdated systems immediately.,Law Enforcement Notification
67,2024-03-11,DDoS Attack,Email,Sophisticated threat actors initiated exposed APIs to exfiltrate sensitive data using encrypted channels.,Critical infrastructure systems were compromised.,Enable MFA and reset all compromised credentials.,User Incident Report
68,2020-09-07,Malware Infection,WhatsApp,A persistent malware infection leveraged corporate networks to steal credentials using cloud services.,Internal systems experienced minor disruption.,Patch outdated systems immediately.,Threat Intelligence Platform
69,2021-07-06,Phishing Scam,VPN,Multiple hackers targeted phishing techniques to encrypt critical files through deepfake technology.,Two devices were infected and required isolation.,Conduct security awareness training for all staff.,Law Enforcement Notification
70,2020-02-11,Phishing Scam,VPN,Sophisticated threat actors harvested remote access tools to harvest PII.,Several users reported financial loss.,Enable MFA and reset all compromised credentials.,Threat Intelligence Platform
71,2023-02-08,Phishing Scam,Email,Security teams detected that adversaries compromised stolen credentials to establish persistence using drive-by downloads.,Two devices were infected and required isolation.,Enable advanced threat protection on email gateways.,External Threat Feed
72,2021-09-11,Malware Infection,Banking App,Security teams detected that scammers compromised network protocols to escalate privileges through SQL injection.,The service was temporarily unavailable.,Block malicious IP ranges and update firewall rules.,User Incident Report
73,2021-04-19,Phishing Scam,WhatsApp,A coordinated phishing scam installed outdated software versions to steal credentials via malicious links.,Internal systems experienced minor disruption.,Deploy endpoint detection and response (EDR) solutions.,Law Enforcement Notification
74,2024-10-17,Ransomware Attack,Instagram,Multiple a group of attackers distributed cloud infrastructure to establish persistence using encrypted channels.,"No direct financial loss, but credentials were exposed.",Patch outdated systems immediately.,Threat Intelligence Platform
75,2021-04-19,Fake Investment Scam,Email,"Cybercriminals distributed remote access tools to deploy ransomware using privilege escalation, targeting multiple organizations.",Two devices were infected and required isolation.,Verify sender identity before responding.,Law Enforcement Notification
76,2021-09-07,Fake Investment Scam,Corporate Network,"Cybercriminals launched zero-day exploits to encrypt critical files via phishing emails, targeting multiple organizations.","No direct financial loss, but credentials were exposed.",Block malicious IP ranges and update firewall rules.,User Incident Report
77,2024-05-18,Account Takeover,Banking App,Unauthorized users orchestrated file sharing services to establish persistence using cloud services during business hours.,Customer data was potentially leaked.,Enable advanced threat protection on email gateways.,CERT Advisory
78,2022-08-05,Phishing Scam,Corporate Network,Unauthorized users exploited malware payloads to exfiltrate sensitive data through lateral movement during business hours.,Two devices were infected and required isolation.,Deploy endpoint detection and response (EDR) solutions.,User Incident Report
79,2024-09-03,Business Email Compromise,WhatsApp,A coordinated campaign executed mobile applications to exfiltrate sensitive data through third-party vendors.,"No direct financial loss, but credentials were exposed.",Deploy endpoint detection and response (EDR) solutions.,Threat Intelligence Platform
80,2022-04-25,Credential Harvesting,VPN,Adversaries conducted remote access tools to move laterally across networks through third-party vendors.,Several users reported financial loss.,Implement email filtering enhancements.,External Threat Feed
81,2024-12-28,Fake Investment Scam,VPN,Sophisticated threat actors successfully exploited weak authentication to bypass security controls through email attachments.,The service was temporarily unavailable.,Deploy endpoint detection and response (EDR) solutions.,User Incident Report
82,2020-11-15,Social Engineering,WhatsApp,A advanced campaign distributed malware payloads to escalate privileges through lateral movement.,Customer data was potentially leaked.,Run full malware scan and isolate infected hosts.,CERT Advisory
83,2021-06-25,Credential Harvesting,WhatsApp,A widespread credential harvesting impersonated weak authentication to gain unauthorized access via cross-site scripting.,The service was temporarily unavailable.,Implement network segmentation to limit lateral movement.,CERT Advisory
84,2024-05-08,DDoS Attack,VPN,Attackers compromised weak authentication to exfiltrate sensitive data through deepfake technology during business hours.,Two devices were infected and required isolation.,Patch outdated systems immediately.,User Incident Report
85,2022-04-17,Credential Harvesting,Instagram,An investigation revealed that cybercriminals deployed outdated software versions to exfiltrate sensitive data using drive-by downloads.,Several users reported financial loss.,Enable advanced threat protection on email gateways.,CERT Advisory
86,2024-10-16,Account Takeover,Facebook,A multi-stage account takeover impersonated unpatched security flaws to gain unauthorized access via phishing emails.,Internal systems experienced minor disruption.,Enable advanced threat protection on email gateways.,CERT Advisory
87,2020-01-09,Account Takeover,VPN,Malicious actors targeted backup systems to encrypt critical files via man-in-the-middle attacks during business hours.,Internal systems experienced minor disruption.,Enable advanced threat protection on email gateways.,Threat Intelligence Platform
88,2022-10-18,Ransomware Attack,Facebook,Forensic analysis showed sophisticated threat actors impersonated authentication mechanisms to encrypt critical files through email attachments.,"No direct financial loss, but credentials were exposed.",Enable MFA and reset all compromised credentials.,Internal SOC Report
89,2020-09-24,Malware Infection,LinkedIn,Scammers successfully compromised malware payloads to bypass security controls through deepfake technology.,Internal systems experienced minor disruption.,Enable MFA and reset all compromised credentials.,External Threat Feed
90,2020-11-20,Ransomware Attack,Website,Forensic analysis showed attackers harvested remote access tools to gain unauthorized access through email attachments.,Sensitive intellectual property was exfiltrated.,Verify sender identity before responding.,Internal SOC Report
91,2023-05-17,DDoS Attack,Email,An investigation revealed that attackers compromised stolen credentials to gain unauthorized access via cross-site scripting.,Several users reported financial loss.,Run full malware scan and isolate infected hosts.,User Incident Report
92,2020-03-27,Fake Investment Scam,Facebook,Adversaries launched database systems to gain unauthorized access through USB drives.,Ransomware encrypted critical business files.,Run full malware scan and isolate infected hosts.,External Threat Feed
93,2020-02-06,DDoS Attack,Instagram,Scammers successfully deployed vulnerable systems to escalate privileges using drive-by downloads.,"No direct financial loss, but credentials were exposed.",Enable advanced threat protection on email gateways.,Threat Intelligence Platform
94,2022-03-28,Business Email Compromise,LinkedIn,"Unauthorized users targeted backup systems to harvest PII, resulting in financial loss.",Two devices were infected and required isolation.,Deploy intrusion detection systems (IDS) and monitor alerts.,CERT Advisory
95,2020-02-13,DDoS Attack,Instagram,A persistent ddos attack impersonated stolen credentials to deploy ransomware using drive-by downloads.,The service was temporarily unavailable.,Block malicious IP ranges and update firewall rules.,User Incident Report
96,2020-01-12,DDoS Attack,Facebook,Multiple malicious actors orchestrated employee email accounts to harvest PII via command and control servers.,Several users reported financial loss.,Implement network segmentation to limit lateral movement.,External Threat Feed
97,2022-08-31,Business Email Compromise,Facebook,An investigation revealed that sophisticated threat actors compromised weak authentication to steal credentials through third-party vendors.,Multiple corporate accounts were accessed unlawfully.,Deploy intrusion detection systems (IDS) and monitor alerts.,CERT Advisory
98,2021-09-16,Credential Harvesting,VPN,A multi-stage campaign deployed network protocols to deploy ransomware through watering hole attacks.,Internal systems experienced minor disruption.,Block malicious IP ranges and update firewall rules.,Law Enforcement Notification
99,2023-01-23,Phishing Scam,VPN,Adversaries installed remote access tools to conduct reconnaissance using privilege escalation.,The service was temporarily unavailable.,Enable advanced threat protection on email gateways.,Threat Intelligence Platform
100,2022-01-27,Fake Investment Scam,VPN,Threat actors successfully compromised outdated software versions to move laterally across networks through email attachments.,Sensitive intellectual property was exfiltrated.,Block malicious IP ranges and update firewall rules.,CERT Advisory
101,2020-05-01,Ransomware Attack,LinkedIn,Threat actors successfully harvested mobile applications to install backdoors via SMS messages.,Customer data was potentially leaked.,Implement email filtering enhancements.,CERT Advisory
102,2020-05-09,Phishing Scam,Facebook,Security teams detected that scammers distributed social engineering tactics to install backdoors via SMS messages.,Several users reported financial loss.,Enable advanced threat protection on email gateways.,Law Enforcement Notification
103,2021-02-14,Credential Harvesting,Banking App,An investigation revealed that a group of attackers compromised database systems to harvest PII via command and control servers.,Multiple corporate accounts were accessed unlawfully.,Implement email filtering enhancements.,Internal SOC Report
104,2023-01-09,Business Email Compromise,WhatsApp,Attackers harvested network protocols to move laterally across networks.,Several users reported financial loss.,Conduct security awareness training for all staff.,User Incident Report
105,2021-04-20,Identity Theft,Website,A group of attackers successfully launched remote access tools to install backdoors using drive-by downloads.,Internal systems experienced minor disruption.,Run full malware scan and isolate infected hosts.,Threat Intelligence Platform
106,2024-03-02,Ransomware Attack,Email,Security teams detected that sophisticated threat actors distributed zero-day exploits to gain unauthorized access using AI-generated content.,"No direct financial loss, but credentials were exposed.",Enable MFA and reset all compromised credentials.,External Threat Feed
107,2023-12-29,Ransomware Attack,Instagram,A group of attackers orchestrated backup systems to encrypt critical files through compromised websites during business hours.,The service was temporarily unavailable.,Block malicious IP ranges and update firewall rules.,Law Enforcement Notification
108,2024-04-19,Business Email Compromise,Facebook,Unauthorized users distributed network protocols to escalate privileges through third-party vendors.,Sensitive intellectual property was exfiltrated.,Deploy intrusion detection systems (IDS) and monitor alerts.,User Incident Report
109,2020-01-04,Fake Investment Scam,Corporate Network,Scammers targeted employee email accounts to gain unauthorized access using privilege escalation.,"No direct financial loss, but credentials were exposed.",Conduct security awareness training for all staff.,External Threat Feed
110,2022-09-20,DDoS Attack,LinkedIn,A coordinated ddos attack deployed database systems to deploy ransomware via supply chain attacks.,Critical infrastructure systems were compromised.,Block malicious IP ranges and update firewall rules.,External Threat Feed
111,2023-03-15,Fake Investment Scam,Banking App,"Scammers impersonated phishing techniques to encrypt critical files, resulting in credential theft.",Two devices were infected and required isolation.,Implement network segmentation to limit lateral movement.,Law Enforcement Notification
112,2024-09-22,Fake Investment Scam,SMS,Multiple scammers installed zero-day exploits to install backdoors through compromised websites.,Customer data was potentially leaked.,Deploy endpoint detection and response (EDR) solutions.,Law Enforcement Notification
113,2022-03-02,Business Email Compromise,LinkedIn,Forensic analysis showed adversaries harvested outdated software versions to bypass security controls through compromised websites.,Critical infrastructure systems were compromised.,Enable advanced threat protection on email gateways.,User Incident Report
114,2023-01-26,Credential Harvesting,Instagram,A large-scale campaign executed vulnerable systems to move laterally across networks using privilege escalation.,Multiple corporate accounts were accessed unlawfully.,Enable MFA and reset all compromised credentials.,Law Enforcement Notification
115,2021-05-23,Malware Infection,Instagram,Multiple sophisticated threat actors executed employee email accounts to harvest PII using drive-by downloads.,Customer data was potentially leaked.,Enable MFA and reset all compromised credentials.,External Threat Feed
116,2024-12-04,Business Email Compromise,Banking App,Hackers successfully initiated IoT devices to gain unauthorized access through email attachments.,Two devices were infected and required isolation.,Enable advanced threat protection on email gateways.,Threat Intelligence Platform
117,2020-09-29,Social Engineering,Website,Forensic analysis showed hackers compromised authentication mechanisms to steal credentials via man-in-the-middle attacks.,Sensitive intellectual property was exfiltrated.,Verify sender identity before responding.,Threat Intelligence Platform
118,2023-10-27,Fake Investment Scam,WhatsApp,An investigation revealed that cybercriminals exploited web applications to conduct reconnaissance via cross-site scripting.,Two devices were infected and required isolation.,Deploy endpoint detection and response (EDR) solutions.,External Threat Feed
119,2022-09-10,Malware Infection,SMS,A widespread campaign perpetrated outdated software versions to gain unauthorized access using social media.,Ransomware encrypted critical business files.,Implement network segmentation to limit lateral movement.,User Incident Report
120,2021-10-22,Account Takeover,Facebook,Cybercriminals installed network protocols to gain unauthorized access through third-party vendors during business hours.,Several users reported financial loss.,Deploy intrusion detection systems (IDS) and monitor alerts.,Internal SOC Report
121,2022-07-28,Account Takeover,Facebook,Hackers successfully targeted authentication mechanisms to encrypt critical files via network shares.,Customer data was potentially leaked.,Enable advanced threat protection on email gateways.,User Incident Report
122,2023-05-04,DDoS Attack,VPN,An investigation revealed that unauthorized users compromised stolen credentials to escalate privileges using social media.,The service was temporarily unavailable.,Implement network segmentation to limit lateral movement.,CERT Advisory
123,2024-12-30,Credential Harvesting,SMS,"Adversaries conducted network protocols to exfiltrate sensitive data, resulting in data breach.",Several users reported financial loss.,Block malicious IP ranges and update firewall rules.,Threat Intelligence Platform
124,2024-10-29,DDoS Attack,SMS,Attackers orchestrated phishing techniques to establish persistence via cross-site scripting during business hours.,Sensitive intellectual property was exfiltrated.,Block malicious IP ranges and update firewall rules.,Internal SOC Report
125,2024-08-08,Social Engineering,Banking App,Forensic analysis showed cybercriminals orchestrated remote access tools to encrypt critical files via supply chain attacks.,Sensitive intellectual property was exfiltrated.,Deploy intrusion detection systems (IDS) and monitor alerts.,User Incident Report
126,2020-09-01,Fake Investment Scam,Instagram,Scammers leveraged IoT devices to encrypt critical files through USB drives during business hours.,Multiple corporate accounts were accessed unlawfully.,Verify sender identity before responding.,External Threat Feed
127,2021-03-31,Identity Theft,Banking App,Adversaries harvested employee email accounts to conduct reconnaissance.,Internal systems experienced minor disruption.,Enable MFA and reset all compromised credentials.,Threat Intelligence Platform
128,2023-04-03,Ransomware Attack,Banking App,"Malicious actors executed corporate networks to conduct reconnaissance through deepfake technology, targeting multiple organizations.",Internal systems experienced minor disruption.,Block malicious IP ranges and update firewall rules.,Threat Intelligence Platform
129,2023-05-04,DDoS Attack,Website,Malicious actors leveraged network protocols to conduct reconnaissance.,Customer data was potentially leaked.,Verify sender identity before responding.,User Incident Report
130,2022-09-06,Malware Infection,Corporate Network,Forensic analysis showed unauthorized users orchestrated vulnerable systems to establish persistence via command and control servers.,Ransomware encrypted critical business files.,Run full malware scan and isolate infected hosts.,Threat Intelligence Platform
131,2022-01-02,DDoS Attack,Email,"Adversaries orchestrated network protocols to steal credentials using social media, targeting multiple organizations.",Internal systems experienced minor disruption.,Enable advanced threat protection on email gateways.,Law Enforcement Notification
132,2021-04-17,Ransomware Attack,SMS,An investigation revealed that unauthorized users perpetrated IoT devices to steal credentials through third-party vendors.,Customer data was potentially leaked.,Implement network segmentation to limit lateral movement.,Law Enforcement Notification
133,2023-01-16,Account Takeover,WhatsApp,Hackers successfully initiated cloud infrastructure to conduct reconnaissance via malicious links.,Internal systems experienced minor disruption.,Deploy endpoint detection and response (EDR) solutions.,User Incident Report
134,2023-09-08,Fake Investment Scam,VPN,Cybercriminals distributed social engineering tactics to gain unauthorized access.,"No direct financial loss, but credentials were exposed.",Implement network segmentation to limit lateral movement.,External Threat Feed
135,2023-09-11,Malware Infection,LinkedIn,"Unauthorized users distributed mobile applications to exfiltrate sensitive data, resulting in unauthorized access.",Multiple corporate accounts were accessed unlawfully.,Enable advanced threat protection on email gateways.,User Incident Report
136,2024-11-12,Identity Theft,Facebook,Scammers targeted misconfigured servers to escalate privileges.,Multiple corporate accounts were accessed unlawfully.,Enable advanced threat protection on email gateways.,User Incident Report
137,2022-08-22,Identity Theft,Facebook,"Attackers executed web applications to establish persistence via network shares, targeting multiple organizations.",Critical infrastructure systems were compromised.,Educate employees regarding phishing indicators.,Threat Intelligence Platform
138,2021-01-18,Business Email Compromise,Banking App,"Adversaries exploited exposed APIs to deploy ransomware via command and control servers, targeting multiple organizations.",The service was temporarily unavailable.,Implement email filtering enhancements.,User Incident Report
139,2020-01-21,Fake Investment Scam,VPN,An investigation revealed that adversaries compromised misconfigured servers to steal credentials via cross-site scripting.,Ransomware encrypted critical business files.,Deploy intrusion detection systems (IDS) and monitor alerts.,CERT Advisory
140,2021-12-08,Phishing Scam,Banking App,Unauthorized users installed unpatched security flaws to escalate privileges using social media.,Two devices were infected and required isolation.,Enable advanced threat protection on email gateways.,Internal SOC Report
